ID,tank,trt,date,g_ind
319,1,1,26-Jul-16,0.001515
577,1,1,02-Aug-16,0.00156
84,2,2,04-Jul-16,0.00021
600,2,2,02-Aug-16,0.001466
618,3,3,02-Aug-16,0.00049
309,3,3,26-Jul-16,0.001602
565,4,1,12-Jul-16,0.00146
21,5,3,02-Aug-16,0.00166
651,7,2,02-Aug-16,0.00184
11,8,3,02-Aug-16,0.00122
331,8,3,26-Jul-16,0.00194
304,9,4,26-Jul-16,0.00119
620,9,4,02-Aug-16,0.001903333
20,10,4,02-Aug-16,0.00134
257,10,4,26-Jul-16,0.001
46,11,1,04-Jul-16,0.001434419
594,12,3,02-Aug-16,0.001745
314,12,3,26-Jul-16,0.00187
640,13,2,02-Aug-16,0.0020125
41,14,4,04-Jul-16,0.001984286
260,14,4,26-Jul-16,0.0016
606,14,4,02-Aug-16,0.002612
487,14,4,12-Jul-16,0.00227
488,15,4,12-Jul-16,0.001336667
102,15,4,04-Jul-16,0.001038772
233,15,4,26-Jul-16,0.00117
656,15,4,02-Aug-16,0.001955
26,17,1,02-Aug-16,0.001635385
525,17,1,12-Jul-16,0.00157
412,20,3,28-Jun-16,0.002882857
579,20,3,02-Aug-16,0.00234
406,21,2,28-Jun-16,0.0018675
590,21,2,02-Aug-16,0.002326667
325,22,4,26-Jul-16,0.001736667
662,22,4,02-Aug-16,0.00164
272,24,4,26-Jul-16,0.00156
