,ID,tank,trt,date,totno,nochiro,no_odo,totnonew
7,577,1,1,8/2/2016,66,61,4,62
129,585,19,1,8/2/2016,31,29,2,29
40,646,6,1,8/2/2016,49,48,1,48
27,638,4,1,8/2/2016,25,25,0,25
75,626,11,1,8/2/2016,93,69,0,93
116,28,17,1,8/2/2016,149,136,0,149
47,655,7,2,8/2/2016,36,30,2,34
109,1,16,2,8/2/2016,126,124,2,124
143,591,21,2,8/2/2016,25,20,2,23
13,605,2,2,8/2/2016,27,77,1,26
89,639,13,2,8/2/2016,30,25,1,29
123,634,18,2,8/2/2016,32,31,1,31
20,617,3,3,8/2/2016,26,23,2,24
136,583,20,3,8/2/2016,28,23,2,26
157,10,23,3,8/2/2016,19,16,2,17
33,24,5,3,8/2/2016,54,52,0,54
54,12,8,3,8/2/2016,19,17,0,19
82,598,12,3,8/2/2016,185,183,0,185
61,625,9,4,8/2/2016,71,64,4,67
95,606,14,4,8/2/2016,29,21,3,26
150,665,22,4,8/2/2016,5,2,2,3
68,16,10,4,8/2/2016,57,56,0,57
102,659,15,4,8/2/2016,54,46,0,54
164,668,24,4,8/2/2016,11,11,0,11
74,281,11,1,7/26/2016,52,46,5,47
128,247,19,1,7/26/2016,24,20,4,20
6,319,1,1,7/26/2016,23,20,1,22
26,285,4,1,7/26/2016,19,18,1,18
39,306,6,1,7/26/2016,42,42,0,42
115,237,17,1,7/26/2016,10,10,0,10
12,300,2,2,7/26/2016,16,11,5,11
46,291,7,2,7/26/2016,15,13,2,13
88,294,13,2,7/26/2016,7,5,2,5
108,243,16,2,7/26/2016,24,23,1,23
122,242,18,2,7/26/2016,15,14,1,14
142,271,21,2,7/26/2016,5,5,0,5
81,315,12,3,7/26/2016,39,28,10,29
53,334,8,3,7/26/2016,39,32,5,34
19,312,3,3,7/26/2016,33,25,3,30
156,278,23,3,7/26/2016,19,16,3,16
135,251,20,3,7/26/2016,11,11,0,11
149,326,22,4,7/26/2016,18,9,6,12
94,264,14,4,7/26/2016,13,8,4,9
67,256,10,4,7/26/2016,16,13,2,14
101,235,15,4,7/26/2016,12,10,1,11
163,272,24,4,7/26/2016,17,15,1,16
60,304,9,4,7/26/2016,12,9,0,12
5,230,1,1,7/18/2016,16,15,1,15
114,134,17,1,7/18/2016,48,47,1,47
25,225,4,1,7/18/2016,5,4,0,5
38,216,6,1,7/18/2016,2,2,0,2
73,149,11,1,7/18/2016,15,1,0,15
127,171,19,1,7/18/2016,33,33,0,33
87,193,13,2,7/18/2016,12,6,6,6
121,187,18,2,7/18/2016,20,17,3,17
45,218,7,2,7/18/2016,61,58,2,59
107,177,16,2,7/18/2016,13,12,1,12
11,209,2,2,7/18/2016,12,9,0,12
141,180,21,2,7/18/2016,13,12,0,13
80,189,12,3,7/18/2016,17,16,1,16
18,204,3,3,7/18/2016,23,23,0,23
32,163,5,3,7/18/2016,46,45,0,46
52,166,8,3,7/18/2016,23,23,0,23
134,198,20,3,7/18/2016,7,7,0,7
155,202,23,3,7/18/2016,45,41,0,45
100,139,15,4,7/18/2016,20,15,5,15
148,160,22,4,7/18/2016,16,14,2,14
66,132,10,4,7/18/2016,21,20,1,20
59,154,9,4,7/18/2016,1,1,0,1
162,146,24,4,7/18/2016,10,10,0,10
